Title,Release_date,Worldwide_box_office,Worldwide_box_office_tri,Rotten_Tomatoes,Metacritic,Distributor,Original_game_publisher,Surnom
Alone in the Dark,2005-01-28,10442808.0,10.44,1.0,9.0,Lionsgate Films,Infogrames,Alone in the Dark
Assassin's Creed,2016-12-21,240558621.0,240.55,18.0,36.0,20th Century Fox,Ubisoft,Assassin's Creed
BloodRayne,2006-01-06,3650275.0,3.65,4.0,18.0,Boll KG Productions,Majesco Entertainment,BloodRayne
Dead Trigger,2019-05-03,151493.0,0.15,,,Saban Films,Madfinger Games,
Detective Pikachu,2019-05-10,433005346.0,433.00,68.0,53.0,Warner Bros. Pictures,NintendoThe Pokémon Company,Pokemon
DOA: Dead or Alive,2006-09-07,7516532.0,7.51,33.0,38.0,Metro-Goldwyn-Mayer / Dimension Films,Tecmo,Dead or Alive
Doom,2005-10-21,55987321.0,55.98,18.0,34.0,Universal Pictures,id Software,Doom
Double Dragon,1994-11-04,4152699.0,4.15,13.0,,Gramercy Pictures,Technōs Japan,Double Dragon
Far Cry,2008-10-02,743634.0,0.74,,,20th Century Fox,Ubisoft,Far Cry
Hitman,2007-11-21,101276318.0,101.27,16.0,35.0,20th Century Fox,Eidos,Hitman
Hitman: Agent 47,2015-08-21,82347656.0,82.34,8.0,28.0,20th Century Fox,Square Enix,Hitman
House of the Dead,2003-10-10,13818181.0,13.81,3.0,15.0,Artisan Entertainment,Sega Sammy,House of The Dead
In the Name of the King: A Dungeon Siege Tale,2008-01-11,13097915.0,13.09,4.0,15.0,20th Century Fox,Microsoft Studios,
Lara Croft: Tomb Raider,2001-06-15,274703340.0,274.70,20.0,33.0,Paramount Pictures,Eidos,Lara Croft
Lara Croft: Tomb Raider – The Cradle of Life,2003-07-25,156505388.0,156.50,24.0,43.0,Paramount Pictures,Eidos,Lara Croft
Max Payne,2008-10-17,85416905.0,85.41,16.0,31.0,20th Century Fox,Rockstar Games,Max Payne
Monster Hunter,2020-12-18,42145959.0,42.14,46.0,47.0,Sony Pictures Releasing,Capcom,Monster Hunter
Mortal Kombat,1995-08-18,124741822.0,124.74,44.0,60.0,New Line Cinema,Midway,Mortal Kombat
Mortal Kombat,2021-04-23,83601013.0,83.60,55.0,44.0,Warner Bros. Pictures,WB Games,Mortal Kombat
Mortal Kombat: Annihilation,1997-11-21,51376861.0,51.37,2.0,11.0,New Line Cinema,Midway,Mortal Kombat
Need for Speed,2014-03-14,203277636.0,203.27,23.0,39.0,Walt Disney Studios Motion Pictures,Electronic Arts,Need for Speed
Postal,2007-10-18,146741.0,0.14,9.0,22.0,Vivendi Entertainment,Ripcord Games,
Prince of Persia: The Sands of Time,2010-05-28,336365676.0,336.36,37.0,50.0,Walt Disney Studios Motion Pictures,Ubisoft,Prince of Persia
Rampage,2018-04-13,428028233.0,428.02,51.0,45.0,Warner Bros. Pictures,WB Games,Rampage
Resident Evil,2002-03-15,102984862.0,102.98,36.0,33.0,Sony Pictures Releasing,Capcom,Resident Evil
Resident Evil: Afterlife,2010-09-10,300228084.0,300.22,22.0,37.0,Sony Pictures Releasing,Capcom,Resident Evil
Resident Evil: Apocalypse,2004-09-10,129342769.0,129.34,19.0,35.0,Sony Pictures Releasing,Capcom,Resident Evil
Resident Evil: Extinction,2007-09-21,148412065.0,148.41,25.0,41.0,Sony Pictures Releasing,Capcom,Resident Evil
Resident Evil: Retribution,2012-09-14,240004424.0,240.00,28.0,39.0,Sony Pictures Releasing,Capcom,Resident Evil
Resident Evil: The Final Chapter,2017-01-27,312257250.0,312.25,37.0,49.0,Sony Pictures Releasing,Capcom,Resident Evil
Resident Evil: Welcome to Raccoon City,2021-11-24,31837037.0,31.83,29.0,44.0,Sony Pictures Releasing,Capcom,Resident Evil
Silent Hill,2006-04-21,97607453.0,97.60,32.0,31.0,Sony Pictures Releasing,Konami,Silent Hill
Silent Hill: Revelation,2012-10-26,52302796.0,52.30,10.0,16.0,Open Road Films,Konami,Silent Hill
Sonic the Hedgehog,2020-02-14,320954026.0,320.95,63.0,47.0,Paramount Pictures,Sega Sammy,Sonic
Street Fighter,1994-12-23,99423521.0,99.423,13.0,34.0,Universal Pictures,Capcom,Street Fighter
Street Fighter: The Legend of Chun-Li,2009-02-27,12764201.0,12.764,5.0,17.0,20th Century Fox,Capcom,Street Fighter
Super Mario Bros.,1993-05-28,38912465.0,38.912,24.0,35.0,Buena Vista Pictures Distribution,Nintendo,Super Mario Bros.
Tekken,2010-03-20,1697207.0,1.69,0.0,,Warner Bros. Pictures,Bandai Namco Games,Tekken
Tomb Raider,2018-03-16,274650803.0,274.65,52.0,48.0,Warner Bros. Pictures,Square Enix,Lara Croft
Warcraft,2016-06-10,439048914.0,439.04,28.0,32.0,Universal Pictures,Blizzard Entertainment,Warcraft
Werewolves Within,2021-06-25,937490.0,9.37,85.0,66.0,IFC Films,Ubisoft,
Wing Commander,1999-03-12,11578059.0,11.57,10.0,21.0,20th Century Fox,Origin Systems,Wing Commander
